"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2012,2012,"1000 ha",4151.8792,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2013,2013,"1000 ha",4140.2454,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2014,2014,"1000 ha",4113.2375,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2015,2015,"1000 ha",4112.0993,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2016,2016,"1000 ha",4106.9871,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2017,2017,"1000 ha",4102.1524,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2018,2018,"1000 ha",4088.5357,"FC","Calculated data"
"LC","Land Cover",11,"Austria",5008,"Area from CCI_LC",6974,"Tree-covered areas",2019,2019,"1000 ha",4070.1935,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2000,2000,"1000 ha",159.5446,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2001,2001,"1000 ha",177.9248,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2002,2002,"1000 ha",206.1693,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2003,2003,"1000 ha",235.2218,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2004,2004,"1000 ha",256.6769,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2005,2005,"1000 ha",257.0431,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2006,2006,"1000 ha",257.3861,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2007,2007,"1000 ha",257.6186,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2008,2008,"1000 ha",257.9964,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2009,2009,"1000 ha",258.0662,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2010,2010,"1000 ha",258.1243,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2011,2011,"1000 ha",258.2057,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2012,2012,"1000 ha",258.351,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2013,2013,"1000 ha",258.4033,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2014,2014,"1000 ha",258.4614,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2015,2015,"1000 ha",258.5138,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2016,2016,"1000 ha",258.787,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2017,2017,"1000 ha",260.1297,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2018,2018,"1000 ha",260.6529,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2019,2019,"1000 ha",261.083,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2000,2000,"1000 ha",669.0999,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2001,2001,"1000 ha",666.7566,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2002,2002,"1000 ha",667.4309,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2003,2003,"1000 ha",669.9467,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2004,2004,"1000 ha",670.8407,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2005,2005,"1000 ha",670.1183,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2006,2006,"1000 ha",667.272,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2007,2007,"1000 ha",662.5845,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2008,2008,"1000 ha",661.7645,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2009,2009,"1000 ha",661.1383,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2010,2010,"1000 ha",658.0517,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2011,2011,"1000 ha",656.1567,"FC","Calculated data"
"LC","Land Cover",255,"Belgium",5008,"Area from CCI_LC",6974,"Tree-covered areas",2012,2012,"1000 ha",654.3885,"FC","Calculated data"
