DATAFLOW,LAST UPDATE,freq,unit,indic_fo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2015,16836.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2016,16919.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2017,17002.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2018,17086.20,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2019,17169.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,FR,2020,17253.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,1990,1850.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2000,1885.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2010,1920.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2015,1922.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2016,1924.12,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2017,1931.61,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2018,1934.11,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2019,1936.61,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HR,2020,1939.11,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,1990,1813.90,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2000,1921.17,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2010,2046.39,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2015,2060.82,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2016,2058.73,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2017,2057.27,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2018,2055.92,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2019,2054.47,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,HU,2020,2053.01,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,1990,461.64,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2000,630.36,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2010,720.38,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2015,754.67,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2016,762.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2017,770.02,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2018,774.02,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2019,778.02,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IE,2020,782.02,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,1990,7589.75,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2000,8369.25,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2010,9028.04,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2015,9297.08,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2016,9350.89,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2017,9404.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2018,9458.51,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2019,9512.32,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,IT,2020,9566.13,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,1990,6.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2000,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2010,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2015,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2016,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2017,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2018,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2019,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LI,2020,6.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,1990,1945.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2000,2020.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2010,2170.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2015,2187.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2016,2190.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2017,2196.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2018,2198.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2019,2200.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LT,2020,2201.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,1990,85.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2000,86.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2010,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2015,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2016,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2017,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2018,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2019,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LU,2020,88.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,1990,3173.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2000,3241.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2010,3372.12,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2015,3391.44,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2016,3395.31,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2017,3399.18,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2018,3403.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2019,3406.92,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,LV,2020,3410.79,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,1990,0.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2000,0.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2010,0.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2015,0.35,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2016,0.38,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2017,0.42,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2018,0.46,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2019,0.46,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,MT,2020,0.46,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,1990,345.33,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2000,359.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2010,373.48,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2015,364.83,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2016,365.76,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2017,366.70,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2018,367.63,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2019,368.57,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NL,2020,369.50,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,1990,12132.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2000,12113.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2010,12102.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2015,12141.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2016,12148.80,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2017,12156.60,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2018,12164.40,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2019,12172.20,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,NO,2020,12180.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,1990,8882.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2000,9059.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2010,9329.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2015,9420.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2016,9435.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2017,9447.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2018,9459.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2019,9471.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PL,2020,9483.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,1990,3399.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2000,3281.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2010,3252.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2015,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2016,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2017,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2018,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2019,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,PT,2020,3312.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,1990,6371.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2000,6366.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2010,6515.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2015,6900.96,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2016,6929.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2017,6929.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2018,6929.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2019,6929.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,RO,2020,6929.05,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,1990,28063.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2000,28163.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2010,28073.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2015,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2016,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2017,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2018,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2019,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SE,2020,27980.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SI,1990,1188.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SI,2000,1233.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SI,2010,1247.00,
ESTAT:FOR_AREA(1.0),12/03/21 11:00:00,A,THS_HA,FOR,SI,2015,1248.00,
