Name,ESPECE,SGIo,SAI,SGIc,ORFUNC,SRI,RANGE BIRDLIFE
Mareca strepera,ANASTR,1.32112741,2.95652173913043,45.4789335945454,0.278160942,21,9.033
Clamator glandarius,CLAGLA,1.329361851,1.29746835443038,41.5197581882965,0.258970249,51,3.144
Emberiza hortulana,EMBHOR,1.352232956,1.41566265060241,40.6764322498327,0.242320725,65,16.748
Otus scops,OTUSCO,1.353586887,1.21739130434783,44.7039411712335,0.349151984,27,20.161
Ciconia nigra,CICNIG,1.364962167,1.4,46.2708169762633,0.301822363,9,7.243
Corvus frugilegus,CORFRU,1.377710806,7.66769336071184,31.6068701333096,0.274949829,507,36.153
Emberiza cia,EMBCIA,1.380172096,1.4367816091954,39.0487240903962,0.249134222,78,17.418
Passer domesticus,PASDOM,1.382057681,4.77656521563397,0.256583217910901,0.254326223,1716,63.478
Linaria flavirostris,CARFLA,1.385563547,2.23076923076923,46.5116806472233,0.27834005,19,9.84
Anthus pratensis,ANTPRA,1.389773648,1.6556338028169,36.8089417326151,0.241545496,361,33.171
Milvus milvus,MILMIL,1.40106478,1.56329113924051,45.0789273130319,0.317979992,76,#NAME?
Netta rufina,NETRUF,1.415627825,5.25581395348837,46.6771373999398,0.319245674,27,0.875
Sylvia conspicillata,SYLCON,1.416144754,1.68253968253968,45.051022011473,0.251097157,22,3.05
Poecile montanus,PARMON,1.437893394,1.29933481152993,34.837033955725,0.247487792,218,50.691
Emberiza calandra,MILCAL,1.438421671,1.62274774774775,13.8811185252054,0.241376268,811,37.459
Alauda arvensis,ALAARV,1.448002005,2.26135441145054,0,0.287210452,1320,58.684
Hippolais icterina,HIPICT,1.454428285,1.04854368932039,43.2471573278224,0.282720553,31,11.357
Circus pygargus,CIRPYG,1.455068424,1.31272727272727,41.34422989528,0.330094486,123,45.243
Saxicola rubetra,SAXRUB,1.461101886,1.64278799612778,36.0332125254547,0.242979355,360,60.311
Larus argentatus,LARARG,1.488742097,7.2027027027027,43.9103088048719,0.356640782,103,3.57
Riparia riparia,RIPRIP,1.513512337,5.73333333333333,47.6859623838658,0.289117644,21,33.314
